Categoría,Nombre,Ubicación,Actividad,Teléfono,Correo,Sitio Web,Link
Agua,El Humedal,"El Humedal 

 Estado de México",Centro de investigación en agroecología y sostenibilidad. Cultivo y cuidado del agua mediante huertos biointensivos.,(72) 62 62 21 09,humedalgerencia@gmail.com,https://www.facebook.com/elhumedal/,https://ecotec.unam.mx/organizaciones/el-humedal
Agua,Global Water Watch México,"Global Water Watch México 

 Veracruz",Capacitación para monitoreo de calidad del agua en zonas urbanas y rurales para una adecuada gestión de recursos hídricos.,44 31 72 21 08,adri.flores.diaz@gmail.com,http://mexico.globalwaterwatch.org/,https://ecotec.unam.mx/organizaciones/global-water-watch-mexico
Agua,Instituto Internacional de Recursos Renovables (IRRI),"Instituto Internacional de Recursos Renovables (IRRI) 

 México D.F.",Transferencia de ecotecnologías para promover el desarrollo justo y sustentable.,55 52 56 56 86,info@irrimexico.org,https://irrimexico.org/,https://ecotec.unam.mx/organizaciones/instituto-internacional-de-recursos-renovables
Agua,"Centro Universitario de Arte, Arquitectura y Diseño (CUAAD) de la Universidad de Guadalajara (UdG)","Centro Universitario de Arte, Arquitectura y Diseño (CUAAD) de la Universidad de Guadalajara (UdG) 

 Jalisco",Innovación e Investigación en un marco de sustentabilidad,12 023000,,http://www.cuaad.udg.mx,https://ecotec.unam.mx/organizaciones/centro-universitario-de-arte-arquitectura-y-diseno-cuaad-de-la-universidad-de-guadalajara-udg
Agua,SARAR Transformación,"SARAR Transformación 

 Morelos",Desarrollo y promoción de sistemas de saneamiento ecológico y descentralizado,(739) 395750,sarar@sarar-t.org,http://www.sarar-t.org,https://ecotec.unam.mx/organizaciones/sarar-transformacion
Agua,Fundación Cántaro Azul,"Fundación Cántaro Azul 

 Chiapas",Soluciones Integrales para el acceso al Agua,(967) 111-9013,,http://www.cantaroazul.org,https://ecotec.unam.mx/organizaciones/fundacion-cantaro-azul
Agua,Grupo EOZ,"Grupo EOZ 

 Baja California Sur",Empresa Social dedicada al desarrollo de purificadores de agua,(52) 612 128 7202,flor@grupoeoz.com,http://www.agualimpia.mx,https://ecotec.unam.mx/organizaciones/grupo-eoz
Agua,Centro de Innovación en Tecnología Alternativa (CITA),"Centro de Innovación en Tecnología Alternativa (CITA) 

 Morelos",Fomentar prácticas para salvaguardar el agua,(52-777) 322 8638,acua@terra.com.mx,http://esac.laneta.apc.org/citaesp.htm,https://ecotec.unam.mx/organizaciones/centro-de-innovacion-en-tecnologia-alternativa-cita
Agua,Instituto Mexicano de la Tecnología del Agua (IMTA),"Instituto Mexicano de la Tecnología del Agua (IMTA) 

 Morelos",Manejo del agua,52 (777) 329 3600,,http://www.imta.gob.mx/,https://ecotec.unam.mx/organizaciones/instituto-mexicano-de-la-tecnologia-del-agua-imta
Agua,Isla Urbana,"Isla Urbana 

 México D.F.",Captación de agua de lluvia,(55) 5446 4831,info@islaurbana.org,http://www.islaurbana.org,https://ecotec.unam.mx/organizaciones/isla-urbana
Agua,Centro Internacional de Demostración y Capacitación en Aprovechamiento del Agua de Lluvia (CIDECALLI-CP),Centro Internacional de Demostración y Capacitación en Aprovechamiento del Agua de Lluvia (CIDECALLI-CP),Aprovechamiento racional del agua de lluvia,01 595 952 0238,dolivar@colpos.mx,http://www.colpos.mx,https://ecotec.unam.mx/organizaciones/centro-internacional-de-demostracion-y-capacitacion-en-aprovechamiento-del-agua-de-lluvia-cidecalli-cp
Agua,Soluciones Ecológicas de Bienestar Social (SEBS),Soluciones Ecológicas de Bienestar Social (SEBS),Tecnologías Verdes,(999) 9271772,ventas@sebs.com.mx,http://www.sebs.com.mx,https://ecotec.unam.mx/organizaciones/soluciones-ecologicas-de-bienestar-social-sebs
Alimentos,"Fundación Ollin Quetzá, A.C.","Fundación Ollin Quetzá, A.C. 

 México D.F.",Fomento de la unión social entre las Empresas Socialmente Responsables e Instituciones sociales; creando espacios habitables con la implementación de huertos urbanos.,555 51 03 314,,http://www.ollinquetza.org,https://ecotec.unam.mx/organizaciones/fundacion-ollin-quetza-a-c
Alimentos,CEYTIAC,"CEYTIAC 

 Querétaro","Producción de plántulas para huertos familiares y escolares, habilitación y diseño de jardines comestibles (en suelo y en vertical), asesorías a productores de hortalizas en agricultura protegida.",442 52 39 318,tania_calzada21@hotmail.com,https://www.facebook.com/ceytiac/,https://ecotec.unam.mx/organizaciones/ceytiac
Alimentos,El Humedal,"El Humedal 

 Estado de México",Centro de investigación en agroecología y sostenibilidad. Cultivo y cuidado del agua mediante huertos biointensivos.,(72) 62 62 21 09,humedalgerencia@gmail.com,https://www.facebook.com/elhumedal/,https://ecotec.unam.mx/organizaciones/el-humedal
Alimentos,Ikarani,"Ikarani 

 Michoacán",Empresa ambiental dedicada a la producción de agroinsumos orgánicos y a la asistencia técnica agrícola.,443 216 99 06,ikaranimich@gmail.com,https://www.facebook.com/ikarani.ambientales/?ref=ts&fref=ts,https://ecotec.unam.mx/organizaciones/ikarani
Alimentos,Grupo Ambientalista Sierra de Guadalupe A.C.,"Grupo Ambientalista Sierra de Guadalupe A.C. 

 Estado de México",Implementación de ecotecnias en zonas urbanas y rurales,86242126; Móvil: 55 27 41 94 07,sierradeguadalupe@yahoo.com.mx,http://www.sierra-guadalupe.org/,https://ecotec.unam.mx/organizaciones/grupo-ambientalista-sierra-de-guadalupe-a-c
Alimentos,AgroSano,"AgroSano 

 Oaxaca","Producción y comercialización de alimentos agroecológicos, promoción de la soberanía alimentaria y capacitación en agricultura biointensiva.",,agrosano.oax@gmail.com,https://www.facebook.com/Agrosano/timeline,https://ecotec.unam.mx/organizaciones/agrosano
Alimentos,Colegio de la Frontera Sur (ECOSUR),"Colegio de la Frontera Sur (ECOSUR) 

 Chiapas","Investigación científica, que busca contribuir al desarrollo sustentable",(967) 674 9000,,http://www.ecosur.mx,https://ecotec.unam.mx/organizaciones/colegio-de-la-frontera-sur-ecosur
Alimentos,Fondo Procuenca Valle de Bravo (FPCVB),"Fondo Procuenca Valle de Bravo (FPCVB) 

 Estado de México","Establecer estrategias, proyectos y acciones que favorezcan la permanencia de los bosques y el agua, y el mejoramiento de la calidad de los ecosistemas a través de una nueva relación de los pobladores con su entorno natural.",,info@procuenca.org,http://procuenca.org,https://ecotec.unam.mx/organizaciones/fondo-pro-cuenca-valle-de-bravo-fpcvb
Alimentos,Laboratorio de innovación y Evaluación en Estufas de Biomasa (LINEB),"Laboratorio de innovación y Evaluación en Estufas de Biomasa (LINEB) 

 Michoacán","Evaluar, certificar y estudiar estufas eficientes",(443) 32 22 777  Ext.: 80775,vruiz@cieco.unam.mx,https://ecotec.unam.mx/proyectos-lineb,https://ecotec.unam.mx/organizaciones/laboratorio-de-estufas-mejoradas
Alimentos,U’yoolche A.C.,"U’yoolche A.C. 

 Quintana Roo",Cultura local y conservación de recursos naturales,(938) 8340176,info@uyoolche.org,http://www.uyoolche.org,https://ecotec.unam.mx/organizaciones/uyoolche-a-c
Alimentos,Lazos de Confianza A.C.,"Lazos de Confianza A.C. 

 Puebla",Desarrollo sustentable en comunidades indígenas de alto índice de marginación,(222) 4034801,,http://www.lazosdeconfianza.org,https://ecotec.unam.mx/organizaciones/lazos-de-confianza-a-c
Alimentos,The Green Corner,"The Green Corner 

 México D.F.","Comercialización de productos orgánicos, agroecológicos, silvestres y biodegradables",(55) 10542298,,http://www.thegreencorner.org,https://ecotec.unam.mx/organizaciones/the-green-corner
Energía,Tecnologías en estufas y combustibles apropiados (TECA),"Tecnologías en estufas y combustibles apropiados (TECA) 

 Michoacán","Empresa que promueve el uso y aprovechamiento sustentable de la biomasa para satisfacer la demanda de calor y energía residencial, comercial y pequeña industria.",551 48 81 205,tecatecnology@gmail.com,http://tecatecnology.simplesite.com/,https://ecotec.unam.mx/organizaciones/tecnologias-en-estufas-y-combustibles-apropiados-teca
Energía,Energía Amiga,"Energía Amiga 

 Estado de México","Diseño e instalación de sistemas de paneles solares en zonas rurales, industrias, comercios y huertos.",55 23 79 02 60,energiaamiga@outlook.com,http://www.energiaamiga.com/,https://ecotec.unam.mx/organizaciones/energia-amiga
Energía,Asociación Mexicana de Energía Eólica (AMDEE),"Asociación Mexicana de Energía Eólica (AMDEE) 

 México D.F.",Promover la generación y desarrollo de la energía eólica en México.,55 53 95 95 59,,https://www.amdee.org,https://ecotec.unam.mx/organizaciones/asociacion-mexicana-de-energia-eolica-amdee
